epoch,train_loss,val_obj_beam1
1,1.5935761430595494,-23.3515625
2,1.3320479030850567,-23.0625
3,1.324557367759415,-23.0234375
4,1.342510046838205,-23.0859375
5,1.3096519006958491,-23.421875
6,1.3050661343562453,-23.21875
7,1.2639622031887876,-23.421875
8,1.3502208115179328,-23.109375
9,1.3293036275272128,-23.484375
10,1.2936646214014367,-23.5703125
11,1.2790431961228577,-23.1171875
12,1.2984880186334442,-23.2578125
13,1.3062627692765827,-23.484375
14,1.2689594128463841,-23.2578125
15,1.281703168832803,
