epoch,train_loss,val_obj_beam1
1,1.6580899169173422,-23.4921875
2,1.375633980654463,-23.1015625
3,1.3737084171440028,-23.4375
4,1.3706730905967424,-22.96875
5,1.335270570048803,-22.90625
6,1.3071477005753336,-23.2265625
7,1.280702418918851,-23.1015625
8,1.3090083236935772,-23.0703125
9,1.2891251060027111,-23.296875
10,1.7791353841371174,-23.578125
11,2.659075249599505,-22.953125
12,1.2954719308056408,-23.3125
13,1.3123428580127185,-23.3671875
14,1.2588019835043558,-23.2265625
15,1.3152222769169868,-23.0234375
