epoch,train_loss,val_obj_beam1
1,1.5301187740096562,-23.3515625
2,1.3530534279497364,-23.0390625
3,1.3228757200361807,-23.09375
4,1.3240108920049063,-23.1796875
5,1.3157891125618657,-23.4453125
6,1.322879178614556,-23.421875
7,1.5699530960638313,-44.484375
8,2.1803292020966736,-23.265625
9,8.972603918630865,-140.140625
10,3.581687715989125,-27.3046875
11,2.5867224871357783,-23.2421875
12,1.982326246515105,-23.2265625
13,2.7630017875116084,-27.7421875
14,1.8879795165001592,-23.3203125
15,1.627544421183912,-23.4609375
